Method,k,Build Time (s),Query Time (µs),QPS,Recall (%)
Naive,1,0.0,203325.17999361557,4.91823,100.0
Naive,10,0.0,215573.45773359,4.63879,100.0
Naive,25,0.0,191815.61148898787,5.21334,100.0
Naive,100,0.0,196306.30064702558,5.09408,100.0
HNSW,1,72.5765,711.972,1404.55,64.46
HNSW,10,65.558,2974.78,336.159,96.592
HNSW,25,63.0662,5509.83,181.494,98.5948
HNSW,100,54.4366,12147.7,82.3199,99.6371
Annoy,1,3.8797,467.5138,2138.9744,89.22
Annoy,10,3.5853,502.725,1989.159,83.181
Annoy,25,3.5537,511.2578,1955.9604,78.882
Annoy,100,3.6906,718.1261,1392.5132,81.7116
HNSWLib,1,2.8288,230.9597,4329.7597,99.1232
HNSWLib,10,2.9218,232.3732,4303.4224,99.1433
HNSWLib,25,2.8914,321.5792,3109.6541,99.1388
HNSWLib,100,2.9614,295.6289,3382.6189,99.1452
